ID,SMILES,AV_Bit,AV
coq_165,O=C(OC)C3=CNc2cc(OCc1ccccc1)c(CCCC)cc2C3=O,0,
coq_166,O=S(=O)(Nc1ccc(OCC)nn1)c2ccc(N)cc2,0,
coq_167,NC(=O)c1ncn2C(=O)N(C)N=Nc12,0,
coq_168,CC(OC1=CC=CC=C1)C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O,0,
coq_169,[Na]OC(=O)CSC1=NN=C(Br)[N]1C2=C3C=CC=CC3=C(C=C2)C4CC4,0,
coq_170,CNCC(O)C1=CC(=C(OC(=O)C(C)(C)C)C=C1)OC(=O)C(C)(C)C,0,
coq_171,C[C@@H]1C[C@H]2[C@@H]3CCC\4=C\C(=O)\C=C/[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0,
coq_172,CSCCNC1=NC(=NC2=C1N=C[N]2[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)C(Cl)(Cl)[P](O)(O)=O)[C@@H](O)[C@H]3O)SCCC(F)(F)F,0,
coq_173,C[C@H](\C=C\[C@H](C)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])O)[C@H]1CC[C@H]2C(/CCC[C@]12C)=C/[CH]=[C]3C[C@@H](O)[CH2][C@H](O)C3,0,
coq_174,CCCCC(CC)COC1=CC(=C(C=C1)C2=NC(=NC(=N2)C3=C(O)C=C(OCC(CC)CCCC)C=C3)C4=CC=C(OC)C=C4)O,0,
coq_175,O[C@@H]1[C@@H](O)[C@@H]2O[C@H]3O[C@H](CSCCC([O-])=O)[C@@H](O[C@H]4O[C@H](CSCCC([O-])=O)[C@@H](O[C@H]5O[C@H](CSCCC([O-])=O)[C@@H](O[C@H]6O[C@H](CSCCC([O-])=O)[C@@H](O[C@H]7O[C@H](CSCCC([O-])=O)[C@@H](O[C@H]8O[C@H](CSCCC([O-])=O)[C@@H](O[C@H]9O[C@H](CSCCC([O-])=O)[C@@H](O[C@H]1O[C@@H]2CSCCC([O-])=O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,0,
coq_176,CCOC1=NC2=CC=CC(=C2[N]1CC3=CC=C(C=C3)C4=CC=CC=C4\C5=N\C(=O)ON5)C(O)=O,0,
coq_177,CN/1\C=C/C(=O)/C(=C1C)O,0,
coq_178,CCCC1=NC(=C([N]1CC2=CC=C(C=C2)C3=CC=CC=C3C4=N[NH]N=N4)C(=O)OCC/5=C(C)/OC(=O)O5)C(C)(C)O,0,
coq_179,CC(C)CN(C[C@@H](OP([O-])([O-])=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@@H]2CCOC2)[S+]([O-])(=O)C3=CC=C(N)C=C3,0,
coq_181,CS\C=C(/c1ccccc1OCCCCC)n2ccnc2,0,
coq_183,C\C(C)=C\CCC(\C)=C\COC(=O)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)C,0,
coq_184,CC[C@H](NC1=C2N=C[NH]C2=NC=N1)C/3=N/C4=C(C(=CC=C4)F)C(=O)N3C5=CC=CC=C5,0,
coq_185,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CCCN3CCC[C@H](N3C2=O)C(O)=O,0,
coq_186,O.Oc1c(C=O)c(cnc1C)COP(=O)(O)O,0,
coq_187,CCC(=O)NCC[C@@H]1CCC2=C1C3=C(OCC3)C=C2,0,
coq_188,Fc1ccc(cc1)n5cc(C3CCN(CCN2CCNC2=O)CC3)c4cc(Cl)ccc45,0,
coq_189,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(O)=O,0,
coq_190,Cl.COc1cc(cc(OC)c1OC)C[C@@H]2NCCc3cc(O)c(O)cc23,0,
coq_191,N[C@H]2CN(CC12CC1)c3c(F)cc4c(c3Cl)[N@@](C=C(C4=O)C(=O)O)C5C[C@H]5F,0,
coq_192,CC\1(C)OC(=O)\C(=C1C2=CC=C(C=C2)[S+](C)([O-])=O)OCC3CC3,0,
coq_193,Cl.CCN2CCCC2CNC(=O)c1cc(ccc1OC)S(=O)(=O)CC,0,
